"# Cumulative DVH Data - Dose in Gy, Volume in cm3"
# Values represent volume of structure receiving >= dose
# Generated from DICOM RT data

GY,BODY_1_Volume_cm3,CouchSurface_11_Volume_cm3,override_1_Volume_cm3,PTV_5mm_4cm_sphere_Volume_cm3,.GTV_point_source_Volume_cm3,OAR_2_1_Volume_cm3
0.135810,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.136479,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.137148,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.137817,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.138486,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.139155,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.139824,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.140493,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.141162,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.141831,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.142500,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.143169,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.143838,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.144507,11927.9637,2038.6544,7648.4977,44.9097,5.3212,171.3972
0.145176,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.145845,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.146514,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.147183,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.147852,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.148521,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.149190,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.149859,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.150528,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.151197,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.151866,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.152535,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.153205,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.153874,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.154543,11712.6484,2038.6544,7548.8038,44.9097,5.3212,168.7366
0.155212,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.155881,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.156550,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.157219,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.157888,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.158557,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.159226,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.159895,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.160564,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.161233,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.161902,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.162571,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.163240,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.163909,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.164578,11495.9369,2038.6544,7431.7798,44.9097,5.3212,166.1156
0.165247,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.165916,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.166585,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.167254,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.167923,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.168592,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.169261,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.169930,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.170599,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.171268,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.171937,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.172606,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.173275,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.173944,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.174613,11292.4765,2038.6544,7307.0264,44.9097,5.3212,163.1630
0.175282,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.175951,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
0.176620,11067.6585,2038.6544,7155.7568,44.9097,5.3212,159.1072
