GY,.GTV_point_source_Diff,OAR_2_1_Diff,PTV_5mm_4cm_sphere_Diff,override_1_Diff
0.105035,,-0.00013723095586892775,,0.0006478683673538654
0.105704,,-0.00013723095586892775,,0.000597492283987533
0.106373,,-0.00013723095586892775,,0.0005471162006212005
0.107042,,-0.00013723095586892775,,0.000496740117254868
0.107711,,-0.00013723095586892775,,0.0004463640338885355
0.10838,,-0.00013723095586892775,,0.00039598795052220304
0.10905,,-0.00013723095586892775,,0.00034553656658276033
0.109719,,-0.00013723095586892775,,0.00029516048321642785
0.110388,,-0.00013723095586892775,,0.00024478439985009537
0.111057,,-0.00013723095586892775,,0.0001293955494264809
0.111726,,-0.00013723095586892775,,-1.4919067765406524e-05
0.112395,,-0.00013723095586892775,,-0.00015923368495740498
0.113064,,-0.00013723095586892775,,-0.0003035483021494034
0.113733,,-0.00013723095586892775,,-0.0004478629193414019
0.114402,,-0.00014732678128948073,,-0.0005921775365334003
0.115071,,0.0019429173995532123,,0.002414507846274616
0.11574,,0.0019291615803956885,,0.0022701932290826177
0.116409,,0.0019154057612381648,,0.0021258786118906192
0.117078,,0.001901649942080641,,0.0019815639946986208
0.117747,,0.0018878941229232282,,0.0018372493775067333
0.118416,,0.0018741383037657044,,0.0016586048105580176
0.119085,,0.0017920766256618315,,0.001395904954256788
0.119754,,0.001370315274048295,,0.0011332050979556696
0.120423,,0.0009485539224346473,,0.0008705052416544401
0.121092,,0.0005267925708211108,,0.0006078053853532106
0.121761,,0.00010503121920746317,,0.0003451055290519811
0.12243,,-0.0003167301324060734,,8.240567275075161e-05
0.123099,,-0.000738491484019721,,-0.00018029418355047788
0.123768,,-0.0011602528356332575,,-0.0004429940398517074
0.124437,,-0.001744138758245195,,-0.0007056938961529369
0.125106,,0.007922622738026686,,0.004050606247545829
0.125775,,0.00723038423429867,,0.0037879063912446
0.126444,,0.006538145730570544,,0.0034652752553770982
0.127113,,0.005845907226842528,,0.00313519048137878
0.127782,,0.005153668723114513,,0.002805105707380351
0.128451,,0.004461430219386497,,0.0024750209333820328
0.12912,,0.0037704827975537647,,0.0021449361593836036
0.129789,,0.0031193744742019636,,0.0018148513853852855
0.130458,,0.0024682661508501624,,0.0014847666113868563
0.131127,,0.0018171578274983613,,0.0011546818373885381
0.131796,,0.0011660495041465602,,0.000824597063390109
0.132465,,0.000514941180794759,,0.0004945122893916798
0.133134,,-0.0001361671425570421,,0.00016442751539336165
0.133803,,-0.0007872754659088432,,-0.00018514003921132893
0.134472,,-0.00148094697354062,,-0.0005550840799545265
0.135141,,0.009238385956216177,,0.0052899718793021355
0.13581,,0.008495718885972892,,0.004920027838558827
0.136479,,0.007753051815729606,,0.0045500837978156294
0.137148,,0.00701038474548632,,0.004180139757072321
0.137817,,0.006267717675243034,,0.0038101957163290123
0.138486,,0.005525050604999748,,0.0034402516755857038
0.139155,,0.0047823835347564625,,0.0030703076348425062
0.139824,,0.004027381103748451,,0.0027003635940991977
0.140493,,0.0032709601062524962,,0.002330419553355889
0.141162,,0.0025145391087566527,,0.0019471091764244886
0.141831,,0.001758118111260698,,0.0014256044761922215
0.1425,,0.0010016971137648545,,0.0009040997759598435
0.143169,,0.0002452761162688999,,0.00038259507572757645
0.143838,,-0.0005111448812269437,,-0.0001389096245048016
0.144507,,-0.0013384218914563872,,-0.0006604143247370686
0.145176,,0.012767690417780586,,0.006864080975030551
0.145845,,0.011795802727017635,,0.006342576274798284
0.146514,,0.010823915036254683,,0.005821071574565906
0.147183,,0.009852027345491732,,0.005299566874333639
0.147852,,0.00888013965472878,,0.004778062174101261
0.148521,,0.00790825196396594,,0.004256557473868994
0.14919,,0.006936364273202988,,0.0037119806477177164
0.149859,,0.005988753250140144,,0.003156921051311934
0.150528,,0.005048773399635276,,0.0026018614549062624
0.151197,,0.004108793549130518,,0.00204680185850048
0.151866,,0.00316881369862565,,0.0014917422620948084
0.152535,,0.0022288338481207814,,0.0009366826656890259
0.153205,,0.0012874489455224625,,0.00038079338378793626
0.153874,,0.00034746909501759404,,-0.00017426621261784625
0.154543,,-0.0006301777248706175,,-0.0007293258090235177
0.155212,,0.013091482100063279,,0.008159614594570708
0.155881,,0.011959141924997141,,0.007604554998165036
0.15655,,0.010826801749931003,,0.007013864425305938
0.157219,,0.009694461574864865,,0.006334653145320446
0.157888,,0.008562121399798728,,0.005655441865334954
0.158557,,0.007429781224732479,,0.0049762305853495725
0.159226,,0.006297441049666341,,0.00429701930536408
