"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Volume in mL"
# Values represent volume of structure with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_Volume_mL,CouchSurface_11_Volume_mL,override_1_Volume_mL,PTV_5mm_4cm_sphere_Volume_mL,.GTV_point_source_Volume_mL,OAR_2_1_Volume_mL
8016.642380,15.4770,0.0000,15.4770,14.5097,6.0702,0.0000
8057.965279,15.4139,0.0000,15.4139,14.4817,6.0702,0.0000
8099.288177,15.3438,0.0000,15.3438,14.4326,6.0702,0.0000
8140.611076,15.3088,0.0000,15.3088,14.4186,6.0702,0.0000
8181.933975,15.2667,0.0000,15.2667,14.4045,6.0702,0.0000
8223.256874,15.2036,0.0000,15.2036,14.3555,6.0702,0.0000
8264.579773,15.1335,0.0000,15.1335,14.3134,6.0702,0.0000
8305.902672,15.0704,0.0000,15.0704,14.2784,6.0702,0.0000
8347.225571,15.0284,0.0000,15.0284,14.2503,6.0702,0.0000
8388.548470,14.9793,0.0000,14.9793,14.2083,6.0702,0.0000
8429.871368,14.9373,0.0000,14.9373,14.1802,6.0702,0.0000
8471.194267,14.8952,0.0000,14.8952,14.1662,6.0702,0.0000
8512.517166,14.8461,0.0000,14.8461,14.1452,6.0702,0.0000
8553.840065,14.7831,0.0000,14.7831,14.1031,6.0702,0.0000
8595.162964,14.7340,0.0000,14.7340,14.0611,6.0702,0.0000
8636.485863,14.6849,0.0000,14.6849,14.0401,6.0702,0.0000
8677.808762,14.6499,0.0000,14.6499,14.0260,6.0702,0.0000
8719.131660,14.5588,0.0000,14.5588,13.9629,6.0702,0.0000
8760.454559,14.5097,0.0000,14.5097,13.9349,6.0702,0.0000
8801.777458,14.4746,0.0000,14.4746,13.9139,6.0702,0.0000
8843.100357,14.4396,0.0000,14.4396,13.8929,6.0702,0.0000
8884.423256,14.4045,0.0000,14.4045,13.8648,6.0702,0.0000
8925.746155,14.3765,0.0000,14.3765,13.8438,6.0702,0.0000
8967.069054,14.3415,0.0000,14.3415,13.8157,6.0702,0.0000
9008.391953,14.2854,0.0000,14.2854,13.7667,6.0702,0.0000
9049.714851,14.2293,0.0000,14.2293,13.7176,6.0702,0.0000
9091.037750,14.2083,0.0000,14.2083,13.7036,6.0702,0.0000
9132.360649,14.1873,0.0000,14.1873,13.6826,6.0702,0.0000
9173.683548,14.1522,0.0000,14.1522,13.6615,6.0702,0.0000
