"# Cumulative PET Volume Histogram (PVH) - PET in Bq/mL, Relative Cumulative Volume (fraction 0-1)"
# Values represent fraction of structure volume with >= PET activity
# Generated from PET and RT Structure data

PET_Bq_per_mL,BODY_1_RelativeCumVolume,CouchSurface_11_RelativeCumVolume,override_1_RelativeCumVolume,PTV_5mm_4cm_sphere_RelativeCumVolume,.GTV_point_source_RelativeCumVolume,OAR_2_1_RelativeCumVolume
12603.484154,0.000304,0.000000,0.000605,0.224110,0.995381,0.000000
12644.807053,0.000304,0.000000,0.000604,0.223838,0.995381,0.000000
12686.129951,0.000303,0.000000,0.000603,0.223430,0.994226,0.000000
12727.452850,0.000303,0.000000,0.000603,0.223294,0.994226,0.000000
12768.775749,0.000303,0.000000,0.000603,0.223158,0.993072,0.000000
12810.098648,0.000302,0.000000,0.000601,0.222479,0.993072,0.000000
12851.421547,0.000301,0.000000,0.000600,0.222071,0.993072,0.000000
12892.744446,0.000300,0.000000,0.000598,0.221392,0.993072,0.000000
12934.067345,0.000300,0.000000,0.000597,0.221120,0.993072,0.000000
12975.390244,0.000300,0.000000,0.000596,0.220848,0.993072,0.000000
13016.713142,0.000299,0.000000,0.000596,0.220576,0.993072,0.000000
13058.036041,0.000299,0.000000,0.000594,0.220033,0.993072,0.000000
13099.358940,0.000298,0.000000,0.000593,0.219489,0.993072,0.000000
13140.681839,0.000298,0.000000,0.000593,0.219489,0.993072,0.000000
13182.004738,0.000297,0.000000,0.000592,0.219217,0.993072,0.000000
13223.327637,0.000297,0.000000,0.000591,0.218809,0.993072,0.000000
13264.650536,0.000296,0.000000,0.000590,0.218538,0.993072,0.000000
13305.973434,0.000296,0.000000,0.000590,0.218402,0.993072,0.000000
13347.296333,0.000296,0.000000,0.000589,0.217994,0.993072,0.000000
13388.619232,0.000296,0.000000,0.000589,0.217994,0.993072,0.000000
13429.942131,0.000296,0.000000,0.000589,0.217994,0.993072,0.000000
13471.265030,0.000295,0.000000,0.000588,0.217722,0.993072,0.000000
13512.587929,0.000295,0.000000,0.000587,0.217314,0.993072,0.000000
13553.910828,0.000294,0.000000,0.000585,0.216771,0.993072,0.000000
13595.233727,0.000294,0.000000,0.000585,0.216499,0.993072,0.000000
13636.556625,0.000294,0.000000,0.000585,0.216499,0.993072,0.000000
13677.879524,0.000293,0.000000,0.000583,0.216091,0.993072,0.000000
13719.202423,0.000293,0.000000,0.000582,0.215684,0.993072,0.000000
13760.525322,0.000292,0.000000,0.000582,0.215412,0.993072,0.000000
13801.848221,0.000292,0.000000,0.000580,0.214868,0.993072,0.000000
13843.171120,0.000291,0.000000,0.000579,0.214596,0.993072,0.000000
13884.494019,0.000290,0.000000,0.000578,0.214053,0.993072,0.000000
13925.816917,0.000290,0.000000,0.000577,0.213781,0.993072,0.000000
13967.139816,0.000290,0.000000,0.000577,0.213645,0.993072,0.000000
14008.462715,0.000289,0.000000,0.000575,0.213101,0.993072,0.000000
14049.785614,0.000289,0.000000,0.000575,0.213101,0.993072,0.000000
14091.108513,0.000289,0.000000,0.000575,0.213101,0.993072,0.000000
14132.431412,0.000289,0.000000,0.000575,0.212830,0.993072,0.000000
14173.754311,0.000288,0.000000,0.000574,0.212558,0.993072,0.000000
14215.077209,0.000287,0.000000,0.000572,0.211878,0.993072,0.000000
14256.400108,0.000287,0.000000,0.000571,0.211471,0.993072,0.000000
14297.723007,0.000286,0.000000,0.000570,0.210927,0.993072,0.000000
14339.045906,0.000286,0.000000,0.000570,0.210927,0.993072,0.000000
14380.368805,0.000286,0.000000,0.000568,0.210519,0.993072,0.000000
14421.691704,0.000285,0.000000,0.000567,0.210111,0.993072,0.000000
14463.014603,0.000285,0.000000,0.000567,0.209976,0.993072,0.000000
14504.337502,0.000285,0.000000,0.000566,0.209704,0.993072,0.000000
14545.660400,0.000284,0.000000,0.000564,0.209024,0.993072,0.000000
14586.983299,0.000283,0.000000,0.000563,0.208481,0.993072,0.000000
14628.306198,0.000283,0.000000,0.000563,0.208481,0.993072,0.000000
14669.629097,0.000282,0.000000,0.000562,0.208209,0.993072,0.000000
14710.951996,0.000282,0.000000,0.000561,0.207801,0.993072,0.000000
14752.274895,0.000281,0.000000,0.000560,0.207393,0.993072,0.000000
14793.597794,0.000281,0.000000,0.000560,0.207257,0.993072,0.000000
14834.920692,0.000281,0.000000,0.000559,0.206850,0.993072,0.000000
14876.243591,0.000280,0.000000,0.000558,0.206714,0.993072,0.000000
14917.566490,0.000280,0.000000,0.000558,0.206578,0.993072,0.000000
14958.889389,0.000280,0.000000,0.000557,0.206170,0.993072,0.000000
15000.212288,0.000279,0.000000,0.000556,0.205898,0.993072,0.000000
15041.535187,0.000279,0.000000,0.000556,0.205762,0.993072,0.000000
